"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 9:56:50 pm GMT+3","Brick","Gaige","Claptrap","Moze"
"2019/08/15 9:57:05 pm GMT+3","Lilith","Krieg","Claptrap","Fl4k"
"2019/08/15 9:57:19 pm GMT+3","Mordecai","Zer0","Athena","Zane"
"2019/08/15 9:57:21 pm GMT+3","Brick","Krieg","Athena","Moze"
"2019/08/15 9:57:25 pm GMT+3","Lilith","Gaige","Athena","Moze"
"2019/08/15 9:57:59 pm GMT+3","Lilith","Krieg","Nisha","Amara"
"2019/08/15 9:58:00 pm GMT+3","Lilith","Krieg","Athena","Amara"
"2019/08/15 9:58:14 pm GMT+3","Lilith","Maya","Aurelia","Zane"
"2019/08/15 9:59:22 pm GMT+3","Mordecai","Zer0","Jack","Fl4k"
"2019/08/15 9:59:38 pm GMT+3","Lilith","Maya","Nisha","Moze"
"2019/08/15 10:00:23 pm GMT+3","Lilith","Maya","Athena","Zane"
"2019/08/15 10:02:09 pm GMT+3","Mordecai","Gaige","Claptrap","Zane"
"2019/08/15 10:02:32 pm GMT+3","Lilith","Gaige","Aurelia","Zane"
"2019/08/15 10:02:39 pm GMT+3","Mordecai","Zer0","Claptrap","Moze"
"2019/08/15 10:03:21 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 10:04:07 pm GMT+3","","Maya","Aurelia",""
"2019/08/15 10:04:13 pm GMT+3","Brick","Maya","Jack","Fl4k"
"2019/08/15 10:06:40 pm GMT+3","Mordecai","Zer0","Nisha","Zane"
"2019/08/15 10:08:06 pm GMT+3","Lilith","Axton","Nisha","Zane"
"2019/08/15 10:08:11 pm GMT+3","Lilith","Axton","Nisha","Zane"
"2019/08/15 10:08:46 pm GMT+3","Lilith","Salvador","Nisha","Amara"
"2019/08/15 10:08:48 pm GMT+3","Mordecai","Maya","Wilhelm","Amara"
"2019/08/15 10:10:29 pm GMT+3","Lilith","Maya","","Amara"
"2019/08/15 10:10:58 pm GMT+3","Mordecai","Axton","Athena","Fl4k"
"2019/08/15 10:11:06 pm GMT+3","Roland","Axton","Wilhelm","Moze"
"2019/08/15 10:12:56 pm GMT+3","Mordecai","Gaige","Jack","Fl4k"
"2019/08/15 10:12:59 pm GMT+3","Roland","Axton","Jack","Fl4k"
"2019/08/15 10:13:04 pm GMT+3","Mordecai","Gaige","Wilhelm","Moze"
"2019/08/15 10:13:07 pm GMT+3","Lilith","Gaige","Nisha","Fl4k"
"2019/08/15 10:13:39 pm GMT+3","Roland","Axton","Wilhelm","Amara"
"2019/08/15 10:13:39 pm GMT+3","Mordecai","Zer0","Claptrap","Fl4k"
"2019/08/15 10:13:56 pm GMT+3","Roland","Zer0","Athena","Fl4k"
"2019/08/15 10:14:24 pm GMT+3","Lilith","Axton","Wilhelm","Zane"
"2019/08/15 10:14:24 pm GMT+3","Brick","Salvador","Athena","Amara"
"2019/08/15 10:15:27 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 10:16:01 pm GMT+3","Lilith","Maya","Nisha",""
"2019/08/15 10:18:10 pm GMT+3","Mordecai","Zer0","Claptrap","Moze"
"2019/08/15 10:19:03 pm GMT+3","Lilith","Maya","Athena","Fl4k"
"2019/08/15 10:19:18 pm GMT+3","Roland","Axton","Jack","Moze"
"2019/08/15 10:20:50 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 10:20:51 pm GMT+3","Mordecai","Maya","Athena",""
"2019/08/15 10:22:28 pm GMT+3","Roland","Maya","Claptrap","Fl4k"
"2019/08/15 10:22:36 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 10:23:06 pm GMT+3","Lilith","Krieg","Claptrap","Zane"
"2019/08/15 10:24:11 pm GMT+3","Mordecai","Zer0","Athena","Zane"
"2019/08/15 10:25:41 pm GMT+3","Lilith","Maya","Athena","Moze"
"2019/08/15 10:26:17 pm GMT+3","Roland","Axton","Wilhelm","Fl4k"
"2019/08/15 10:27:09 pm GMT+3","","Axton","Wilhelm","Fl4k"
