"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
53926,5.28,18480000,13299133.2,11.7488156,58.744078,26.4,"Jon Heder"
53927,6.7,4e+05,46118097,23.603514,23.603514,6.7,"Aaron Ruell"
53936,7.55,4e+05,10100973,12.305404,24.610808,15.1,"Melonie Diaz"
53962,6.4,3e+07,27674124,5.133744,5.133744,6.4,"Đỗ Thị Hải Yến"
53975,5.93333333333333,2566666.66666667,15333333.3333333,1.183271,3.549813,17.8,"Deepika Padukone"
54165,6.8,1.1e+07,53191886,18.923181,18.923181,6.8,"Zoé Félix"
54247,6.4,9e+06,32973937,20.452449,20.452449,6.4,"Aaron Yoo"
54414,6.5,2.5e+07,20796847,25.848003,25.848003,6.5,"Jacob Pitts"
54415,5.75,4.4e+07,179271216.5,29.776635,59.55327,11.5,"Josh Gad"
54421,6.16,26600000,60616209.6,5.6720278,28.360139,30.8,"Janet Jackson"
54422,7.45,7150000,17662155,2.4827165,4.965433,14.9,"Tupac Amaru Shakur"
54450,5.2,0,0,0.339757,0.339757,5.2,"Gavin MacLeod"
54455,0,0,0,0.004922,0.004922,0,"Devon Gummersall"
54470,6.2,50750000,50043396.5,17.221089,34.442178,12.4,"Lauren Ambrose"
54479,5.95,12500000,18496584,9.1035345,18.207069,11.9,"Bailee Madison"
54499,5.95,17750000,89011410,18.876793,37.753586,11.9,"Briana Evigan"
54500,6.5,2.3e+07,150816700,28.973074,28.973074,6.5,"Will Kemp"
54503,6.6,3e+07,159291809,25.060342,25.060342,6.6,"Adam G. Sevani"
54523,7.1,1500000,30448000,31.691617,31.691617,7.1,"Martha Carbonell"
54532,6.75,3550000,24458840,27.0165395,54.033079,13.5,"Ferran Terraza"
54565,6.7,1200000,0,1.079125,1.079125,6.7,"Raymond St. Jacques"
54620,5.8,1e+07,303877,4.267466,4.267466,5.8,"Branko Đurić"
54634,4.95,5e+06,45598209.5,7.5822435,15.164487,9.9,"Chandra West"
54645,6.06666666666667,1.4e+07,133513445.333333,10.00204,30.00612,18.2,"Nia Vardalos"
54649,4.1,8e+06,0,2.101718,2.101718,4.1,"Louis Mandylor"
54651,4.1,0,0,3.084874,3.084874,4.1,"Joey Fatone"
54691,6.8,25333333.3333333,92784043,39.5924593333333,118.777378,20.4,"Christopher Mintz-Plasse"
54693,6.19,71900000,255844553.2,52.3815448,523.815448,61.9,"Emma Stone"
54697,6.36666666666667,3.5e+07,95526725.6666667,44.0490643333333,132.147193,19.1,"Dave Franco"
54711,6.8,2e+06,13831503,20.834883,20.834883,6.8,"Kevin Breznahan"
54716,5.8,850000,1243961,14.238376,14.238376,5.8,"Lauren Miller"
54729,5.5,16500000,15535293.5,17.2858455,34.571691,11,"Clark Duke"
54738,5.4,6.4e+07,55217819.5,29.002685,58.00537,10.8,"Jack Huston"
54758,7.4,0,0,15.017162,15.017162,7.4,"Eric Schlosser"
54789,6.2,6666666.66666667,5019593.66666667,18.0436516666667,54.130955,18.6,"Sean Patrick Flanery"
54799,6.3,1.2e+07,31155435,11.510281,11.510281,6.3,"Redman"
54800,7,0,0,5.377155,5.377155,7,"Anna Maria Horsford"
54810,6.5,0,0,1.972668,1.972668,6.5,"Reece Ritchie"
54812,5.65714285714286,16571428.5714286,18629658.5714286,9.81822828571429,68.727598,39.6,"Chevy Chase"
54815,5.9,8666666.66666667,14756061,8.96608533333333,26.898256,17.7,"Steven Strait"
54818,6.8,0,0,1.985552,1.985552,6.8,"Pascale Bussières"
54826,3.6,8.4e+07,0,17.815595,17.815595,3.6,"Traylor Howard"
54853,6.9,3500000,3.4e+07,18.025206,18.025206,6.9,"Lori Cardille"
54854,6.9,3500000,3.4e+07,18.025206,18.025206,6.9,"Terry Alexander"
54855,6.9,3500000,3.4e+07,18.025206,18.025206,6.9,"Joseph Pilato"
54882,7.4,5.8e+07,783112979,514.569956,514.569956,7.4,"Morena Baccarin"
54948,7.2,15238800,0,17.94739,17.94739,7.2,"Ursina Lardi"
55037,4.9,0,0,0.816883,0.816883,4.9,"Jeremy Kemp"
55061,7.7,1.2e+07,42345360,14.719886,14.719886,7.7,"Kajol"
55062,6.8,1.2e+07,20138836,3.604863,3.604863,6.8,"Tabu"
55084,5.8,10375000,20813715.5,13.8426945,27.685389,11.6,"Sean Faris"
